itemString,marketValue,minBuyout,historical,numAuctions,date
118632,3801089,7808900,2626931,2,2021-03-15 07:54:22
41812,833850,550000,388502,4,2021-03-15 07:54:22
11382,10537576,11000000,9381438,6,2021-03-15 07:54:22
87501,14224615,14805500,9241537,2,2021-03-15 07:54:22
101571,9794335,7500000,12591254,4,2021-03-15 07:54:22
36698,48209299,48076900,51632862,2,2021-03-15 07:54:22
31158,193901981,184320000,159655146,4,2021-03-15 07:54:22
112296,24064154,22220000,3168073,2,2021-03-15 07:54:22
13049,52574318,54675700,60069020,6,2021-03-15 07:54:22
9290,2405944,1947200,11655294,3,2021-03-15 07:54:22
2589,1528,500,3552,52,2021-03-15 07:54:22
2857,1379150,599300,888205,16,2021-03-15 07:54:22
23425,160220,208700,66377,22,2021-03-15 07:54:22
111557,20471,10000,26195,36,2021-03-15 07:54:22
78216,508622619,503282100,457626661,2,2021-03-15 07:54:22
111245,4212602,90000,118491,19,2021-03-15 07:54:22
38955,324607,327100,229328,2,2021-03-15 07:54:22
116276,60286,195300,26103,5,2021-03-15 07:54:22
52327,138947,85000,233293,13,2021-03-15 07:54:22
76140,193551,127000,234996,8,2021-03-15 07:54:22
8193,689367,684500,1991870,3,2021-03-15 07:54:22
785,29885,9000,40505,28,2021-03-15 07:54:22
81991,2846848,2500000,2679014,5,2021-03-15 07:54:22
120259,88717117,88800000,63443337,5,2021-03-15 07:54:22
33470,14960,14500,3539,53,2021-03-15 07:54:22
67111,130078664,108288100,120806527,2,2021-03-15 07:54:22
38980,1723870,1859600,383467,2,2021-03-15 07:54:22
35625,352321,260000,747065,10,2021-03-15 07:54:22
24602,3119063,241400,2317693,3,2021-03-15 07:54:22
14668,6860989,1397100,16325339,4,2021-03-15 07:54:22
21886,1224799,959800,1031638,15,2021-03-15 07:54:22
109137,26368,13400,10289,8,2021-03-15 07:54:22
71953,5595249,5830000,3817249,30,2021-03-15 07:54:22
6380,17481705,12759900,10580553,3,2021-03-15 07:54:22
6573,1127414,1247600,1927688,6,2021-03-15 07:54:22
43535,3695089,4421600,1594772,12,2021-03-15 07:54:22
12799,59315,10000,91731,18,2021-03-15 07:54:22
36933,186586,213300,265568,4,2021-03-15 07:54:22
1210,131313,9800,33109,21,2021-03-15 07:54:22
6397,3902231,28612800,2601320,3,2021-03-15 07:54:22
74252,693839,740000,224190,9,2021-03-15 07:54:22
34056,35517,44400,53058,5,2021-03-15 07:54:22
74842,336662,39900,207356,3,2021-03-15 07:54:22
43115,532934,199900,549260,6,2021-03-15 07:54:22
128014,0,0,111600400,0,2021-03-15 07:54:22
53062,384130,140000,292750,2,2021-03-15 07:54:22
87560,6740408,8090600,4793215,7,2021-03-15 07:54:22
113263,29445,25500,42765,17,2021-03-15 07:54:22
56,30903430,30903400,28457449,5,2021-03-15 07:54:22
83089,391483481,453412100,289508229,7,2021-03-15 07:54:22
38989,245470,244600,715691,5,2021-03-15 07:54:22
5616,16678858,16666600,4738485,14,2021-03-15 07:54:22
20865,45479,102100,6091,2,2021-03-15 07:54:22
24918,16729427,21013200,13074251,3,2021-03-15 07:54:22
44922,2074395,2000000,3482689,7,2021-03-15 07:54:22
22450,81196,64900,77437,13,2021-03-15 07:54:22
52195,7109540,40000,1225241,6,2021-03-15 07:54:22
93619,1775326,105300,1572257,6,2021-03-15 07:54:22
109218,230072,200000,148294,10,2021-03-15 07:54:22
116637,10033543,12331000,10066649,3,2021-03-15 07:54:22
59597,30873217,31366300,31267288,6,2021-03-15 07:54:22
25016,6718806,7208900,9887617,7,2021-03-15 07:54:22
122345,1949533,0,2448117,0,2021-03-15 07:54:22
104138,886026,882200,955976,6,2021-03-15 07:54:22
36912,283470,295000,264779,9,2021-03-15 07:54:22
45096,4234766,2509200,1565685,2,2021-03-15 07:54:22
22445,28692,43800,32541,6,2021-03-15 07:54:22
36474,26649629,0,48255610,0,2021-03-15 07:54:22
82181,10061876,10005900,80862954,4,2021-03-15 07:54:22
112278,17225152,14200000,3260536,2,2021-03-15 07:54:22
25018,2168450,0,1900049,0,2021-03-15 07:54:22
71809,11788676,10000000,1453813,4,2021-03-15 07:54:22
118428,549012,50000,421910,2,2021-03-15 07:54:22
122344,2462315,2900000,944023,1,2021-03-15 07:54:22
14855,30425313,26838700,73104247,4,2021-03-15 07:54:22
41985,15714209,15713300,15719418,8,2021-03-15 07:54:22
7561,8209803,10957500,4789220,1,2021-03-15 07:54:22
52757,392119,390000,691389,9,2021-03-15 07:54:22
74248,223818,199800,153519,5,2021-03-15 07:54:22
5373,23634387,24274500,15840733,2,2021-03-15 07:54:22
76131,1126891,899500,628571,7,2021-03-15 07:54:22
40187,26782291,25000000,14261228,3,2021-03-15 07:54:22
4338,2260,1000,3481,42,2021-03-15 07:54:22
35759,22005070,23157000,12546531,3,2021-03-15 07:54:22
114821,3114853,2990000,3563951,123,2021-03-15 07:54:22
25027,848011,850000,882362,6,2021-03-15 07:54:22
106571,113347400,5551700,88871761,1,2021-03-15 07:54:22
52366,2484483,2100000,4937512,6,2021-03-15 07:54:22
112115,5363650,5503200,1568122,5,2021-03-15 07:54:22
52329,434823,399000,345984,13,2021-03-15 07:54:22
127716,1220400,0,942400,0,2021-03-15 07:54:22
29160,8392654,88800000,6213904,3,2021-03-15 07:54:22
15664,2576530,1000400,2415481,6,2021-03-15 07:54:22
2246,63654198,48529700,48546172,1,2021-03-15 07:54:22
25301,4082481,4404300,2783594,11,2021-03-15 07:54:22
82453,1398999900,1398999900,1051780059,8,2021-03-15 07:54:22
116170,514183,209000,421270,4,2021-03-15 07:54:22
10300,1528869,5365100,3262916,3,2021-03-15 07:54:22
1982,415924787,415830400,354798455,4,2021-03-15 07:54:22
72002,1665162,1499900,1902161,7,2021-03-15 07:54:22
12997,59218740,66202100,43060096,2,2021-03-15 07:54:22
14751,26542140,26434500,23974340,8,2021-03-15 07:54:22
20882,23753,40000,17096,1,2021-03-15 07:54:22
116189,93020432,88800000,98121755,3,2021-03-15 07:54:22
14047,6716,4700,4064,50,2021-03-15 07:54:22
113264,8464,10900,1798,14,2021-03-15 07:54:22
41533,500,0,500,0,2021-03-15 07:54:22
118843,25771671,1000000,36443924,3,2021-03-15 07:54:22
20874,342797,254700,90153,1,2021-03-15 07:54:22
115504,108545,193200,42527,11,2021-03-15 07:54:22
80587,1635161,1556400,1600075,5,2021-03-15 07:54:22
6409,15657722,2380700,50588463,7,2021-03-15 07:54:22
23449,14563432,14408700,10528319,14,2021-03-15 07:54:22
2325,1035857,999900,779964,3,2021-03-15 07:54:22
109141,72693,5000,10536,10,2021-03-15 07:54:22
72988,2361,1200,2674,60,2021-03-15 07:54:22
116491,48712526,50006400,26434000,2,2021-03-15 07:54:22
118345,16597708,0,14191318,0,2021-03-15 07:54:22
16204,14353,10800,50629,6,2021-03-15 07:54:22
72104,11770302,12999900,9913135,12,2021-03-15 07:54:22
42905,500,0,500,0,2021-03-15 07:54:22
4348,2883035,0,2920567,0,2021-03-15 07:54:22
74723,2340752,3702000,531094,5,2021-03-15 07:54:22
109144,6043,5000,9714,11,2021-03-15 07:54:22
52758,865969,1165600,345432,6,2021-03-15 07:54:22
14591,4124325,3640000,6767805,4,2021-03-15 07:54:22
109693,6570,4000,6031,35,2021-03-15 07:54:22
55616,19643856,14558200,10743196,2,2021-03-15 07:54:22
8267,11334837,11334800,22567203,3,2021-03-15 07:54:22
2990,2895691,2783600,2897146,3,2021-03-15 07:54:22
66940,60977593,50004200,71183483,1,2021-03-15 07:54:22
15241,203390,234100,889613,3,2021-03-15 07:54:22
31133,140205938,150000000,95565258,1,2021-03-15 07:54:22
112282,14730040,0,4760723,0,2021-03-15 07:54:22
4344,252031,234700,103347,6,2021-03-15 07:54:22
52078,301152,0,92711,0,2021-03-15 07:54:22
15655,12609642,11265000,79349856,7,2021-03-15 07:54:22
118797,932970655,0,276200714,0,2021-03-15 07:54:22
71715,5603477,2500000,2411568,8,2021-03-15 07:54:22
22449,159612,155600,138091,15,2021-03-15 07:54:22
25090,1608653,1315500,4281884,5,2021-03-15 07:54:22
14337,5943688,4066700,10084801,5,2021-03-15 07:54:22
45480,4824585,6134500,936891,4,2021-03-15 07:54:22
40919,1010386,669600,1008344,8,2021-03-15 07:54:22
818,253364,10200,220210,21,2021-03-15 07:54:22
76675,2000000,0,4395138,0,2021-03-15 07:54:22
110625,2284951,2261700,1194160,4,2021-03-15 07:54:22
82224,13034776,14397900,5794923,1,2021-03-15 07:54:22
43117,1325888,199900,404557,11,2021-03-15 07:54:22
2776,138476,176900,104674,4,2021-03-15 07:54:22
12016,6963116,991700,12538524,2,2021-03-15 07:54:22
115799,1689364,1609100,8221285,1,2021-03-15 07:54:22
20862,13040,30600,5994,2,2021-03-15 07:54:22
8171,113952,16300,44844,15,2021-03-15 07:54:22
3859,227847,150000,334673,13,2021-03-15 07:54:22
53069,16471251,7738500,5449532,6,2021-03-15 07:54:22
10254,3336995,3001300,2666346,8,2021-03-15 07:54:22
115811,71849990,19999900,50647660,2,2021-03-15 07:54:22
12655,250418,233900,235128,7,2021-03-15 07:54:22
34664,404053,450000,27082,16,2021-03-15 07:54:22
4406,987508,1000000,1401746,4,2021-03-15 07:54:22
3480,2896856,2960200,1036487,26,2021-03-15 07:54:22
43551,1811458,1803600,1143047,12,2021-03-15 07:54:22
2842,227434,110000,244089,13,2021-03-15 07:54:22
106651,85410013,5554700,53073287,2,2021-03-15 07:54:22
74250,20847,11000,13760,25,2021-03-15 07:54:22
11754,3150,3000,83252,5,2021-03-15 07:54:22
20859,13889,41400,5191,1,2021-03-15 07:54:22
2318,35278,25000,34526,11,2021-03-15 07:54:22
20869,2379966,0,7363138,0,2021-03-15 07:54:22
82445,11168316,10882500,8938811,3,2021-03-15 07:54:22
41528,14142648,12118200,5578565,3,2021-03-15 07:54:22
93559,733267,718500,835567,6,2021-03-15 07:54:22
74850,101173,299000,139458,4,2021-03-15 07:54:22
43004,235562,0,204689,0,2021-03-15 07:54:22
14585,15196965,15102400,19950266,12,2021-03-15 07:54:22
35623,509192,440000,597932,11,2021-03-15 07:54:22
38807,253924,270300,205545,3,2021-03-15 07:54:22
10003,759682,8200,384523,33,2021-03-15 07:54:22
104122,861950,717200,1225389,11,2021-03-15 07:54:22
15599,17016251,14056900,3893116,6,2021-03-15 07:54:22
15155,28135533,25170200,13200520,1,2021-03-15 07:54:22
