itemString,marketValue,minBuyout,historical,numAuctions,date
14974,70139501,65530000,49836271,5,2021-03-15 07:54:23
14279,5456996,6091600,8715167,5,2021-03-15 07:54:23
1210,1449641,24500,532708,13,2021-03-15 07:54:23
14963,17412460,17562100,23013119,3,2021-03-15 07:54:23
15389,53719383,53452900,36869937,3,2021-03-15 07:54:23
14316,9978099,9981400,8974518,3,2021-03-15 07:54:23
55314,634560,509800,804392,3,2021-03-15 07:54:23
6359,140674,38900,227846,5,2021-03-15 07:54:23
98868,5904437,5142300,9966038,4,2021-03-15 07:54:23
43974,93913396,49636100,43813456,1,2021-03-15 07:54:23
116490,3120055,940500,8195400,2,2021-03-15 07:54:23
7969,11855578,12509300,10659270,2,2021-03-15 07:54:23
87500,244700,0,1031972,0,2021-03-15 07:54:23
82142,1881807,0,8758856,0,2021-03-15 07:54:23
14945,9501963,9468800,8936066,6,2021-03-15 07:54:23
15372,7136066,7135800,11040085,10,2021-03-15 07:54:23
60218,14429570,3100100,23735382,23,2021-03-15 07:54:23
15425,17414940,18857100,12756370,5,2021-03-15 07:54:23
7364,18703821,13032000,25264950,3,2021-03-15 07:54:23
14025,14465529,7059400,24117960,4,2021-03-15 07:54:23
14760,18366040,33961400,32887183,3,2021-03-15 07:54:23
10216,272534,200000,2068452,4,2021-03-15 07:54:23
4738,12927328,0,15977383,0,2021-03-15 07:54:23
108332,10802,9000,623836,3,2021-03-15 07:54:23
25191,19086603,5752700,23693702,4,2021-03-15 07:54:23
55716,852670,800000,435656,4,2021-03-15 07:54:23
16858,271667,281800,718090,2,2021-03-15 07:54:23
52767,46813981,0,10579143,0,2021-03-15 07:54:23
10227,8379527,1315500,5454033,5,2021-03-15 07:54:23
90580,103559421,107713200,55154871,2,2021-03-15 07:54:23
10154,18693943,20000000,8199426,4,2021-03-15 07:54:23
89368,1158056,1250900,1488053,5,2021-03-15 07:54:23
24774,335103,352600,930803,5,2021-03-15 07:54:23
14263,23424184,21974400,37801721,7,2021-03-15 07:54:23
7494,12700880,15313800,10817486,1,2021-03-15 07:54:23
7989,2285272,2647600,5076542,3,2021-03-15 07:54:23
14334,13440279,13034400,14177745,6,2021-03-15 07:54:23
9798,13946819,14592000,10200865,3,2021-03-15 07:54:23
106741,13785217,21734500,2615499,1,2021-03-15 07:54:23
112281,83837212,50000000,51330072,2,2021-03-15 07:54:23
37812,497111044,480000000,311161758,2,2021-03-15 07:54:23
14815,4239928,1342700,5032659,5,2021-03-15 07:54:23
94088,85467809,85266100,78271800,1,2021-03-15 07:54:23
112277,82056779,98914400,35109251,1,2021-03-15 07:54:23
16819,276353,150000,719373,7,2021-03-15 07:54:23
14551,56156441,68765600,32994468,4,2021-03-15 07:54:23
4351,0,0,740815492,0,2021-03-15 07:54:23
24697,13048109,14009600,23889599,4,2021-03-15 07:54:23
19283,9650400,0,21041266,0,2021-03-15 07:54:23
10211,1109179,777800,2647605,4,2021-03-15 07:54:23
9359,43680118,59275200,52175288,1,2021-03-15 07:54:23
13009,2293168,259900,1329830,7,2021-03-15 07:54:23
31878,3812964,2609900,5863931,2,2021-03-15 07:54:23
111658,1906117,29700,19427240,6,2021-03-15 07:54:23
25123,608142,0,510015,0,2021-03-15 07:54:23
943,735975260,499999900,215902886,1,2021-03-15 07:54:23
50069,929773,1508200,1700272,1,2021-03-15 07:54:23
8279,3200609,2700600,14066983,7,2021-03-15 07:54:23
1978,653921328,0,575637915,0,2021-03-15 07:54:23
2407,298435,250300,1396165,2,2021-03-15 07:54:23
1713,1078793802,2500008100,156473710,1,2021-03-15 07:54:23
115799,1443039,0,1135175,0,2021-03-15 07:54:23
3385,12433,12400,17090,5,2021-03-15 07:54:23
22563,9628007,9504300,12174961,5,2021-03-15 07:54:23
78249,349999975,350000000,363333203,1,2021-03-15 07:54:23
25295,917133,200000,590041,8,2021-03-15 07:54:23
13117,35636160,51298100,16311388,3,2021-03-15 07:54:23
4348,11079175,11078900,12270624,5,2021-03-15 07:54:23
14860,17933222,12001400,38389762,2,2021-03-15 07:54:23
15983,50898061,50897800,39313124,5,2021-03-15 07:54:23
14681,4071486,1038200,10853138,3,2021-03-15 07:54:23
12711,752509795,759999700,601205169,2,2021-03-15 07:54:23
110652,1093695,1069800,1424489,2,2021-03-15 07:54:23
31671,9180344,8000,13494117,6,2021-03-15 07:54:23
32423,7831716,7959700,2246032,1,2021-03-15 07:54:23
31886,1115776,390000,2872130,6,2021-03-15 07:54:23
82016,45979518,0,42819745,0,2021-03-15 07:54:23
109173,33100179,22003600,36482728,3,2021-03-15 07:54:23
14854,110741275,0,100561399,0,2021-03-15 07:54:23
14653,10299975,11063700,12832675,2,2021-03-15 07:54:23
32392,126239234,143660000,124423249,1,2021-03-15 07:54:23
47586,395232966,276469200,369369320,1,2021-03-15 07:54:23
9488,293103497,250002800,230549830,3,2021-03-15 07:54:23
118782,56129730,56517900,62464541,1,2021-03-15 07:54:23
9972,19974985,19960000,19048575,2,2021-03-15 07:54:23
55712,4125851370,3914939800,3812612690,1,2021-03-15 07:54:23
11039,2250640,1770300,1811139,3,2021-03-15 07:54:23
7462,2426108,1147800,2410345,3,2021-03-15 07:54:23
7490,5898352,3010200,9440610,3,2021-03-15 07:54:23
19271,458800,0,1080107,0,2021-03-15 07:54:23
36612,12289107,15157400,13113897,1,2021-03-15 07:54:23
17202,420556,260000,860937,7,2021-03-15 07:54:23
37764,36427189,37263200,20961982,1,2021-03-15 07:54:23
15440,16434487,16557400,18597756,5,2021-03-15 07:54:23
30183,59691,30000,39224,26,2021-03-15 07:54:23
44721,812556008,589999900,622200699,3,2021-03-15 07:54:23
14260,3810801,1756000,10435330,3,2021-03-15 07:54:23
24789,1441692,155500,1842709,1,2021-03-15 07:54:23
14967,94929666,94929500,114355194,5,2021-03-15 07:54:23
30308,517409,480000,881503,3,2021-03-15 07:54:23
35970,758400,0,7623156,0,2021-03-15 07:54:23
55606,13555310,0,1261949,0,2021-03-15 07:54:23
94052,36821154,35156500,32153690,5,2021-03-15 07:54:23
98605,610397344,548773400,593007494,3,2021-03-15 07:54:23
7471,3720124,0,7496721,0,2021-03-15 07:54:23
15488,39381048,40287600,29888214,4,2021-03-15 07:54:23
9915,7133212,4997500,8707080,3,2021-03-15 07:54:23
55436,655536,500000,720101,5,2021-03-15 07:54:23
15652,17717214,15551700,22150863,7,2021-03-15 07:54:23
15932,24749461,2501000,30649744,4,2021-03-15 07:54:23
4727,9907407,9882900,15703935,4,2021-03-15 07:54:23
10224,1213389,735100,2239272,5,2021-03-15 07:54:23
23805,994423,995000,6850196,2,2021-03-15 07:54:23
94086,244432546,212554300,128255684,2,2021-03-15 07:54:23
10331,735888811,500000000,514378815,3,2021-03-15 07:54:23
55695,25716478,29999900,41454189,1,2021-03-15 07:54:23
10822,250748490,257671100,239653530,2,2021-03-15 07:54:23
105898,57582413,0,79970224,0,2021-03-15 07:54:23
10398,452365462,459938300,455595365,1,2021-03-15 07:54:23
12828,1461685676,1735863800,1380715342,3,2021-03-15 07:54:23
14672,3253418,990100,3922674,4,2021-03-15 07:54:23
115990,5984708,0,5977736,0,2021-03-15 07:54:23
47315,7116676,8628000,2882235,1,2021-03-15 07:54:23
25084,1199900,1199900,3713329,4,2021-03-15 07:54:23
15653,23083860,24607800,12820778,3,2021-03-15 07:54:23
14599,5910924,5454900,6940664,7,2021-03-15 07:54:23
25040,1517408,404900,1595839,5,2021-03-15 07:54:23
4712,6446332,4126400,5695370,4,2021-03-15 07:54:23
12804,1106000,1499800,842034,2,2021-03-15 07:54:23
