itemString,marketValue,minBuyout,historical,numAuctions,date
2841,135550,120000,194929,9,2021-03-15 07:54:20
22452,296315,188000,240458,11,2021-03-15 07:54:20
36905,41171,220000,84709,6,2021-03-15 07:54:20
109129,9891,11000,10435,14,2021-03-15 07:54:20
4414,16958592,16783600,18153667,1,2021-03-15 07:54:20
23436,2156282,90000,3764832,8,2021-03-15 07:54:20
56516,714696,490100,1593578,8,2021-03-15 07:54:20
41530,999900,999900,971909,1,2021-03-15 07:54:20
52555,487500,302000,294629,14,2021-03-15 07:54:20
23440,100116353,7000000,6198544,2,2021-03-15 07:54:20
52721,2311480,2131000,241874,10,2021-03-15 07:54:20
17062,2161149,1877800,2872944,2,2021-03-15 07:54:20
43007,48710,49800,43230,6,2021-03-15 07:54:20
43613,1769393907,2000001900,1386604650,1,2021-03-15 07:54:20
2835,56234,28500,31998,19,2021-03-15 07:54:20
52177,346614,350000,290643,14,2021-03-15 07:54:20
116475,1790868,0,2178054,0,2021-03-15 07:54:20
93351,10007594,0,14018283,0,2021-03-15 07:54:20
112282,1305400436,1271018400,112192845,2,2021-03-15 07:54:20
23425,213308,65000,112453,12,2021-03-15 07:54:20
74704,15283560,15226000,14508513,1,2021-03-15 07:54:20
2772,200012,145000,119664,14,2021-03-15 07:54:20
114836,751010,700000,1482158,7,2021-03-15 07:54:20
36912,483411,980000,406647,14,2021-03-15 07:54:20
109119,57638,60000,52249,18,2021-03-15 07:54:20
43398,2879936,2490000,3721438,11,2021-03-15 07:54:20
14774,12664281,12502600,15314947,5,2021-03-15 07:54:20
116268,5766,800,121279,2,2021-03-15 07:54:20
23077,363621,339600,345617,8,2021-03-15 07:54:20
7452,596216719,589911200,539241726,2,2021-03-15 07:54:20
118472,777173,739500,680699,11,2021-03-15 07:54:20
89367,9438556,15000000,9537772,1,2021-03-15 07:54:20
40195,1006164,4959900,208681,5,2021-03-15 07:54:20
44794,3676759,1009400,466018,9,2021-03-15 07:54:20
14411,3987940,1003300,11786113,6,2021-03-15 07:54:20
38425,3843815,5450000,2336847,2,2021-03-15 07:54:20
115526,164911,30100,716477,4,2021-03-15 07:54:20
13463,124153,90000,254791,8,2021-03-15 07:54:20
36782,651244,651000,360946,5,2021-03-15 07:54:20
76134,483814,465500,135305,13,2021-03-15 07:54:20
116266,870737,250000,1422868,3,2021-03-15 07:54:20
109138,58412,12300,38167,10,2021-03-15 07:54:20
38980,3789656,7081600,1887266,2,2021-03-15 07:54:20
118061,6005988,4944100,5462682,10,2021-03-15 07:54:20
109125,10546,9900,11883,14,2021-03-15 07:54:20
74249,25718,50000,3462,49,2021-03-15 07:54:20
110632,7530510,7344700,6228919,1,2021-03-15 07:54:20
118630,351661,0,620778,0,2021-03-15 07:54:20
2315,12510665,10009100,9317991,6,2021-03-15 07:54:20
36931,36230461,503700,284387,5,2021-03-15 07:54:20
52325,222663,210000,223249,16,2021-03-15 07:54:20
72162,6766,6400,62466,9,2021-03-15 07:54:20
14945,15066897,605800,12880365,4,2021-03-15 07:54:20
128314,1420177,1200000,1211012,10,2021-03-15 07:54:20
112276,243043317,250000000,13980117,1,2021-03-15 07:54:20
24965,6353496,7489700,16062509,1,2021-03-15 07:54:20
4731,2009116,2009100,2094249,9,2021-03-15 07:54:20
127856,904388,600000,441557,11,2021-03-15 07:54:20
10133,4140192,2249600,8277766,5,2021-03-15 07:54:20
124669,275502,231000,265104,36,2021-03-15 07:54:20
127715,0,0,166240677,0,2021-03-15 07:54:20
2319,71368,44700,122686,19,2021-03-15 07:54:20
111675,18611,9100,5759399,5,2021-03-15 07:54:20
18640,6126552,8025100,4082064,1,2021-03-15 07:54:20
110621,4472291,4468000,4633417,1,2021-03-15 07:54:20
15529,420285443,350007000,469198928,3,2021-03-15 07:54:20
7068,23747,59400,3556,9,2021-03-15 07:54:20
108344,73270936,0,21904044,0,2021-03-15 07:54:20
7482,3224534,2499500,2900950,5,2021-03-15 07:54:20
25166,963470,2500100,3923809,2,2021-03-15 07:54:20
2194,16247324,18001700,9083251,2,2021-03-15 07:54:20
74250,31623,19900,21085,16,2021-03-15 07:54:20
21840,12859,4900,1407213,8,2021-03-15 07:54:20
106543,0,0,11006200,0,2021-03-15 07:54:20
109137,3017,900,13054,3,2021-03-15 07:54:20
110619,3645178,3547000,3151704,2,2021-03-15 07:54:20
116569,0,0,24456586,0,2021-03-15 07:54:20
114809,44381321,50000000,24882529,2,2021-03-15 07:54:20
8350,199991700,0,199992474,0,2021-03-15 07:54:20
12365,1211,400,7495,29,2021-03-15 07:54:20
71805,446651,500000,875896,4,2021-03-15 07:54:20
22446,27387,29900,129284,16,2021-03-15 07:54:20
55756,1324493,1733200,1151117,4,2021-03-15 07:54:20
42743,0,0,200,0,2021-03-15 07:54:20
74718,2456646,1509100,2608637,3,2021-03-15 07:54:20
110617,4308737,4235800,2673645,1,2021-03-15 07:54:20
14227,156088,104000,67209,24,2021-03-15 07:54:20
72988,6158,9900,3457,36,2021-03-15 07:54:20
52179,481323,505700,143557,11,2021-03-15 07:54:20
13491,1225349523,1215290000,1405742808,1,2021-03-15 07:54:20
118428,172802,200000,165765,2,2021-03-15 07:54:20
109221,350000,350000,584476,2,2021-03-15 07:54:20
109144,8565,7500,3748,7,2021-03-15 07:54:20
