itemString,marketValue,minBuyout,historical,numAuctions,date
38830,1619982,2465900,148945,3,2021-03-15 07:54:20
114230,25072731,22000000,28951933,3,2021-03-15 07:54:20
10380,5169686,4990000,6874040,2,2021-03-15 07:54:20
10269,9075964,11973900,3827458,3,2021-03-15 07:54:20
15428,47007582,0,41681412,0,2021-03-15 07:54:20
52194,48081,48100,396193,3,2021-03-15 07:54:20
34068,33619,75000,11911,1,2021-03-15 07:54:20
18640,3882872,3736100,4019724,2,2021-03-15 07:54:20
112164,22526681,0,6242264,0,2021-03-15 07:54:20
109137,9865,4900,28112,9,2021-03-15 07:54:20
14674,15589814,14990000,15267044,1,2021-03-15 07:54:20
72005,7305385,0,3887882,0,2021-03-15 07:54:20
116181,19929612,19929700,19938149,2,2021-03-15 07:54:20
36078,0,0,10478620,0,2021-03-15 07:54:20
14304,1815055,0,3506559,0,2021-03-15 07:54:20
109160,585570932,3930000000,1011135,1,2021-03-15 07:54:20
9928,10232950,3201400,12755007,4,2021-03-15 07:54:20
11977,10346964,2123600,8998435,2,2021-03-15 07:54:20
38856,3952197,4482500,2225216,2,2021-03-15 07:54:20
114056,8550123,750900,6797924,2,2021-03-15 07:54:20
24697,45812136,0,136597624,0,2021-03-15 07:54:20
109153,11893509,44543700,45842764,2,2021-03-15 07:54:20
1529,14838,4300,64758,6,2021-03-15 07:54:20
76061,2037142,1839800,2011839,9,2021-03-15 07:54:20
55594,9332081,9090600,4248908,1,2021-03-15 07:54:20
113264,8106,15200,11233,12,2021-03-15 07:54:20
21877,2367,2000,4822,47,2021-03-15 07:54:20
25226,166092843,336000000,167336952,4,2021-03-15 07:54:20
109125,12415,19000,10838,11,2021-03-15 07:54:20
6425,24743002,39695800,19170625,4,2021-03-15 07:54:20
43126,1051743,990700,847513,3,2021-03-15 07:54:20
10315,14871481,15410200,4871459,4,2021-03-15 07:54:20
25306,562976,509200,623829,2,2021-03-15 07:54:20
55320,0,0,48493150,0,2021-03-15 07:54:20
72103,520541,500000,373774,15,2021-03-15 07:54:20
109129,6715,3600,12642,13,2021-03-15 07:54:20
71366,381155638,222229900,12629964,7,2021-03-15 07:54:20
67749,274739,244200,269887,4,2021-03-15 07:54:20
24867,225681862,0,103041421,0,2021-03-15 07:54:20
122343,0,0,709722,0,2021-03-15 07:54:20
112291,0,0,15693779,0,2021-03-15 07:54:20
7005,16731509,16990000,11516605,11,2021-03-15 07:54:20
41810,419648,1000000,124560,2,2021-03-15 07:54:20
72092,108061,79900,144410,13,2021-03-15 07:54:20
42731,193557988,0,117457681,0,2021-03-15 07:54:20
10329,436044051,230000000,249069767,1,2021-03-15 07:54:20
21887,181559,140000,21698,13,2021-03-15 07:54:20
19183,56600,19400,35780,1,2021-03-15 07:54:20
116644,192129058,0,141242648,0,2021-03-15 07:54:20
14342,8521489,11644500,11398982,2,2021-03-15 07:54:20
24163,197773947,0,123827798,0,2021-03-15 07:54:20
110621,4439736,4713600,1642557,1,2021-03-15 07:54:20
6580,3224709,1088800,3403423,1,2021-03-15 07:54:20
62328,0,0,116248800,0,2021-03-15 07:54:20
112298,69128189,0,23153294,0,2021-03-15 07:54:20
114813,126739994,500000000,47692650,1,2021-03-15 07:54:20
2321,45644,27800,363574,5,2021-03-15 07:54:20
