itemString,marketValue,minBuyout,historical,numAuctions,date
175052,123702,0,79422,0,2021-03-15 07:54:20
175053,280006,280000,289932,2,2021-03-15 07:54:20
175056,162744,0,422732,0,2021-03-15 07:54:20
175054,4165500,0,3936744,0,2021-03-15 07:54:20
174348,1521119081,3930000000,16633048,1,2021-03-15 07:54:20
174349,1738130,5662000,1710699,3,2021-03-15 07:54:20
174350,263520,330000,190999,3,2021-03-15 07:54:20
174351,1560865,2339800,1453571,3,2021-03-15 07:54:20
174352,1258567,3930000000,12602771,1,2021-03-15 07:54:20
175008,500003000,0,450003000,0,2021-03-15 07:54:20
175009,1998045603,0,1651111627,0,2021-03-15 07:54:20
171203,3800,3800,4715371,1,2021-03-15 07:54:20
175007,988664280,1301122600,654418459,4,2021-03-15 07:54:20
175010,1706863600,1706863600,1720757076,2,2021-03-15 07:54:20
175004,797708583,1000000000,485690200,1,2021-03-15 07:54:20
175005,4659821420,4812500000,580002940,1,2021-03-15 07:54:20
174891,12720448,18395500,7160221,1,2021-03-15 07:54:20
175006,3959504000,3959504000,271272888,1,2021-03-15 07:54:20
1740,90100,90100,90100,1,2021-03-15 07:54:20
172008,1571379359,3930000000,172719698,2,2021-03-15 07:54:20
172010,743839,380000,5449985,3,2021-03-15 07:54:20
163643,0,0,9999900,0,2021-03-15 07:54:20
45909,50700,0,841760,0,2021-03-15 07:54:20
168791,0,0,100,0,2021-03-15 07:54:20
90484,0,0,765540300,0,2021-03-15 07:54:20
62128,3903989,0,2007000,0,2021-03-15 07:54:20
169115,200000000,0,194088252,0,2021-03-15 07:54:20
3170,0,0,100,0,2021-03-15 07:54:20
82300,0,0,6193150,0,2021-03-15 07:54:20
2745,0,0,194079132,0,2021-03-15 07:54:20
169858,62288824,1000100,508825,1,2021-03-15 07:54:20
169116,200000000,0,194091815,0,2021-03-15 07:54:20
23769,19900,0,19900,0,2021-03-15 07:54:20
24577,0,0,4500,0,2021-03-15 07:54:20
36817,0,0,2700,0,2021-03-15 07:54:20
54836,0,0,700,0,2021-03-15 07:54:20
3802,127808800,0,111922550,0,2021-03-15 07:54:20
5829,0,0,9128,0,2021-03-15 07:54:20
162547,0,0,271301100,0,2021-03-15 07:54:20
25427,0,0,1500,0,2021-03-15 07:54:20
10310,5000,0,21950,0,2021-03-15 07:54:20
90798,54200,0,54200,0,2021-03-15 07:54:20
52248,3980000,3980000,3980000,1,2021-03-15 07:54:20
37243,0,0,600775466,0,2021-03-15 07:54:20
14506,902340600,902340600,902340600,1,2021-03-15 07:54:20
34538,0,0,6395740,0,2021-03-15 07:54:20
25521,0,0,458333333,0,2021-03-15 07:54:20
33394,0,0,1172640,0,2021-03-15 07:54:20
6517,15333800,15333800,13455995,1,2021-03-15 07:54:20
25350,0,0,9514850,0,2021-03-15 07:54:20
172017,0,0,1113800,0,2021-03-15 07:54:20
33549,0,0,62452340000,0,2021-03-15 07:54:20
67507,0,0,26100,0,2021-03-15 07:54:20
12216,200000000,0,167678328,0,2021-03-15 07:54:20
33377,0,0,793700,0,2021-03-15 07:54:20
166664,394146679,0,284038271,0,2021-03-15 07:54:20
60491,84310,0,57681,0,2021-03-15 07:54:20
15059,1250007600,0,1250007600,0,2021-03-15 07:54:20
15066,21518572,21894500,18549725,1,2021-03-15 07:54:20
168797,18800,0,18800,0,2021-03-15 07:54:20
97161,0,0,2761200,0,2021-03-15 07:54:20
3853,0,0,47417600,0,2021-03-15 07:54:20
15903,0,0,2147984563,0,2021-03-15 07:54:20
15904,0,0,1165317265,0,2021-03-15 07:54:20
62677,0,0,62500000,0,2021-03-15 07:54:20
20551,0,0,142720800,0,2021-03-15 07:54:20
39979,10045998,12813000,7304350,1,2021-03-15 07:54:20
39991,16239311,20920400,14087273,1,2021-03-15 07:54:20
39952,22872017,29560500,24405328,1,2021-03-15 07:54:20
39959,6494285,0,6432055,0,2021-03-15 07:54:20
41484,383223720,217946400,318116777,1,2021-03-15 07:54:20
41478,1278432874,0,1433153288,0,2021-03-15 07:54:20
3974,0,0,10300,0,2021-03-15 07:54:20
13260,4379524700,0,4630056620,0,2021-03-15 07:54:20
4424,0,0,1950133,0,2021-03-15 07:54:20
52223,3980000,3980000,3980000,1,2021-03-15 07:54:20
8211,625186500,0,579057218,0,2021-03-15 07:54:20
23515,0,0,459218400,0,2021-03-15 07:54:20
7916,0,0,137886200,0,2021-03-15 07:54:20
7917,0,0,105824200,0,2021-03-15 07:54:20
7915,0,0,83070100,0,2021-03-15 07:54:20
39516,0,0,153320,0,2021-03-15 07:54:20
93208,0,0,297250,0,2021-03-15 07:54:20
54490,7308934000,7308934000,7308934000,1,2021-03-15 07:54:20
42999,11227909,0,31244020,0,2021-03-15 07:54:20
3402,0,0,1000,0,2021-03-15 07:54:20
2504,50000,50000,0,1,2021-03-15 07:54:20
62106,0,0,85009100,0,2021-03-15 07:54:20
8747,0,0,4507500,0,2021-03-15 07:54:20
43001,13582968,0,14319347,0,2021-03-15 07:54:20
